Day,Parent_organisation,Customer,Customer_Id,SIM_State,Sum_Bytes_upload,Sum_Bytes_download,Sum_Total_Kbytes,Nr._of_Voice_calls,Nr._of_SMS_MO,Nr._of_SMS_payload,Nr._of_SMS_transactional,Nr._of_Transactional_SMS_enh.,Nr._of_SMS_wakeup,Nr._of_SMS_P2P_MO,Nr._of_SMS_P2P_MT,Total_Nr._of_SMS,Nr._of_PS_sessions,Sum_Total_Duration,Nr._of_SIMs
2023-01-01,VFCZ,HARDWARIO,100217240,Active.Live,"19,414,658","4,644","18,964",0,0,0,0,0,0,0,0,0,"1,571",0,794
2023-01-02,VFCZ,HARDWARIO,100217240,Active.Live,"20,085,192","8,263","19,623",0,0,0,0,0,0,0,0,0,"1,418",0,789
2023-01-03,VFCZ,HARDWARIO,100217240,Active.Live,"19,223,073","13,873","18,786",0,0,0,0,0,0,0,0,0,"1,579",0,797
2023-01-04,VFCZ,HARDWARIO,100217240,Active.Live,"21,874,724","23,672","21,385",0,0,0,0,0,0,0,0,0,"2,036",0,796
2023-01-05,VFCZ,HARDWARIO,100217240,Active.Live,"20,531,379",0,"20,050",0,0,0,0,0,0,0,0,0,"1,917",0,798
2023-01-06,VFCZ,HARDWARIO,100217240,Active.Live,"21,047,394",0,"20,554",0,0,0,0,0,0,0,0,0,"1,894",0,800
2023-01-07,VFCZ,HARDWARIO,100217240,Active.Live,"17,407,255",0,"16,999",0,0,0,0,0,0,0,0,0,"1,770",0,799
2023-01-08,VFCZ,HARDWARIO,100217240,Active.Live,"18,030,129",0,"17,608",0,0,0,0,0,0,0,0,0,"1,803",0,797
2023-01-09,VFCZ,HARDWARIO,100217240,Active.Live,"15,826,971",0,"15,456",0,0,0,0,0,0,0,0,0,"1,700",0,795
2023-01-10,VFCZ,HARDWARIO,100217240,Active.Live,"16,890,181",0,"16,494",0,0,0,0,0,0,0,0,0,"1,621",0,798
2023-01-11,VFCZ,HARDWARIO,100217240,Active.Live,"18,204,329",0,"17,778",0,0,0,0,0,0,0,0,0,"2,025",0,796
2023-01-12,VFCZ,HARDWARIO,100217240,Active.Live,"13,808,765",238,"13,485",0,0,0,0,0,0,0,0,0,"3,145",0,808
2023-01-13,VFCZ,HARDWARIO,100217240,Active.Live,"13,416,672",0,"13,102",0,0,0,0,0,0,0,0,0,"2,011",0,812
2023-01-14,VFCZ,HARDWARIO,100217240,Active.Live,"16,503,769",0,"16,117",0,0,0,0,0,0,0,0,0,"1,795",0,813
2023-01-15,VFCZ,HARDWARIO,100217240,Active.Live,"16,870,109",0,"16,475",0,0,0,0,0,0,0,0,0,"1,675",0,799
2023-01-16,VFCZ,HARDWARIO,100217240,Active.Live,"18,044,694",0,"17,622",0,0,0,0,0,0,0,0,0,"2,111",0,800
2023-01-17,VFCZ,HARDWARIO,100217240,Active.Live,"16,740,618",0,"16,348",0,0,0,0,0,0,0,0,0,"1,612",0,801
2023-01-18,VFCZ,HARDWARIO,100217240,Active.Live,"17,542,189",0,"17,131",0,0,0,0,0,0,0,0,0,"1,706",0,811
2023-01-19,VFCZ,HARDWARIO,100217240,Active.Live,"21,203,384",0,"20,706",0,0,0,0,0,0,0,0,0,"1,834",0,815
2023-01-20,VFCZ,HARDWARIO,100217240,Active.Live,"20,303,377",0,"19,828",0,0,0,0,0,0,0,0,0,"2,388",0,809
2023-01-21,VFCZ,HARDWARIO,100217240,Active.Live,"19,592,610",0,"19,133",0,0,0,0,0,0,0,0,0,"1,787",0,804
2023-01-22,VFCZ,HARDWARIO,100217240,Active.Live,"17,691,255",528,"17,277",0,0,0,0,0,0,0,0,0,"1,657",0,797
2023-01-23,VFCZ,HARDWARIO,100217240,Active.Live,"21,084,914",176,"20,591",0,0,0,0,0,0,0,0,0,"2,255",0,793
2023-01-24,VFCZ,HARDWARIO,100217240,Active.Live,"18,564,446",0,"18,129",0,0,0,0,0,0,0,0,0,"2,307",0,799
2023-01-25,VFCZ,HARDWARIO,100217240,Active.Live,"18,675,624",0,"18,238",0,0,0,0,0,0,0,0,0,"2,774",0,804
2023-01-26,VFCZ,HARDWARIO,100217240,Active.Live,"18,301,769",0,"17,873",0,0,0,0,0,0,0,0,0,"2,477",0,806
2023-01-27,VFCZ,HARDWARIO,100217240,Active.Live,"17,277,062",0,"16,872",0,0,0,0,0,0,0,0,0,"2,591",0,805
2023-01-28,VFCZ,HARDWARIO,100217240,Active.Live,"20,443,451",528,"19,965",0,0,0,0,0,0,0,0,0,"3,516",0,798
2023-01-29,VFCZ,HARDWARIO,100217240,Active.Live,"19,575,014",264,"19,116",0,0,0,0,0,0,0,0,0,"2,410",0,794
2023-01-30,VFCZ,HARDWARIO,100217240,Active.Live,"19,039,816",0,"18,594",0,0,0,0,0,0,0,0,0,"1,764",0,788
2023-01-31,VFCZ,HARDWARIO,100217240,Active.Live,"17,145,912",0,"16,744",0,0,0,0,0,0,0,0,0,"1,672",0,786
2023-02-01,VFCZ,HARDWARIO,100217240,Active.Live,"16,742,975",0,"16,351",0,0,0,0,0,0,0,0,0,"2,034",0,786
2023-02-02,VFCZ,HARDWARIO,100217240,Active.Live,"15,303,929",0,"14,945",0,0,0,0,0,0,0,0,0,"1,579",0,787
2023-02-03,VFCZ,HARDWARIO,100217240,Active.Live,"14,987,265",0,"14,636",0,0,0,0,0,0,0,0,0,"1,528",0,782
2023-02-04,VFCZ,HARDWARIO,100217240,Active.Live,"18,006,416",528,"17,585",0,0,0,0,0,0,0,0,0,"1,884",0,779
2023-02-05,VFCZ,HARDWARIO,100217240,Active.Live,"20,877,892",0,"20,389",0,0,0,0,0,0,0,0,0,"2,075",0,774
2023-02-06,VFCZ,HARDWARIO,100217240,Active.Live,"18,349,390",0,"17,919",0,0,0,0,0,0,0,0,0,"1,956",0,780
2023-02-07,VFCZ,HARDWARIO,100217240,Active.Live,"25,120,382",88,"24,532",0,0,0,0,0,0,0,0,0,"2,039",0,785
2023-02-08,VFCZ,HARDWARIO,100217240,Active.Live,"23,834,577",0,"23,276",0,0,0,0,0,0,0,0,0,"1,934",0,794
2023-02-09,VFCZ,HARDWARIO,100217240,Active.Live,"23,146,801",0,"22,604",0,0,0,0,0,0,0,0,0,"1,447",0,795
2023-02-10,VFCZ,HARDWARIO,100217240,Active.Live,"21,002,723",0,"20,510",0,0,0,0,0,0,0,0,0,"1,877",0,792
2023-02-11,VFCZ,HARDWARIO,100217240,Active.Live,"22,665,321",0,"22,134",0,0,0,0,0,0,0,0,0,"1,904",0,792
2023-02-12,VFCZ,HARDWARIO,100217240,Active.Live,"24,409,896",0,"23,838",0,0,0,0,0,0,0,0,0,"1,847",0,783
2023-02-13,VFCZ,HARDWARIO,100217240,Active.Live,"26,703,946",0,"26,078",0,0,0,0,0,0,0,0,0,"1,857",0,786
2023-02-14,VFCZ,HARDWARIO,100217240,Active.Live,"23,514,505",0,"22,963",0,0,0,0,0,0,0,0,0,"1,904",0,791
2023-02-15,VFCZ,HARDWARIO,100217240,Active.Live,"22,607,550",0,"22,078",0,0,0,0,0,0,0,0,0,"1,949",0,795
2023-02-16,VFCZ,HARDWARIO,100217240,Active.Live,"26,417,682",0,"25,799",0,0,0,0,0,0,0,0,0,"1,779",0,794
2023-02-17,VFCZ,HARDWARIO,100217240,Active.Live,"19,662,799",0,"19,202",0,0,0,0,0,0,0,0,0,"1,819",0,804
2023-02-18,VFCZ,HARDWARIO,100217240,Active.Live,"27,344,121",0,"26,703",0,0,0,0,0,0,0,0,0,"1,920",0,802
2023-05-08,VFCZ,HARDWARIO,100217240,Active.Test,"59,670",0,58,0,0,0,0,0,0,0,0,0,2,0,2
2023-05-08,VFCZ,HARDWARIO,100217240,Active.Live,"47,415,155","23,451,879","69,206",0,0,0,0,0,0,0,0,0,"1,682",0,777
2023-05-09,VFCZ,HARDWARIO,100217240,Active.Test,"56,194",0,55,0,0,0,0,0,0,0,0,0,2,0,2
2023-05-09,VFCZ,HARDWARIO,100217240,Active.Live,"49,714,827","24,879,366","72,846",0,0,0,0,0,0,0,0,0,"1,695",0,779
